# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Ranked Pairs,20,5,0,10000,0.25,1.0007472456090878,0.9568
Ranked Pairs,20,5,0,10000,0.35,1.0016312902540434,0.9297
Ranked Pairs,20,5,0,10000,0.44999999999999996,1.002950053191766,0.9066
Ranked Pairs,20,5,0,10000,0.5499999999999999,1.005130101627094,0.8687
Ranked Pairs,20,5,0,10000,0.65,1.008377045537744,0.8181
Ranked Pairs,20,5,0,10000,0.75,1.0125628125406165,0.7663
Ranked Pairs,20,5,0,10000,0.85,1.0170844584570895,0.709
Ranked Pairs,20,5,0,10000,0.95,1.02053208120947,0.6693
Copeland,20,5,0,10000,0.05,1.0000193801755992,0.9919
Copeland,20,5,0,10000,0.15,1.0002514739108346,0.976
Copeland,20,5,0,10000,0.25,1.0006822912488587,0.9581
Copeland,20,5,0,10000,0.35,1.0015363595634066,0.9356
Copeland,20,5,0,10000,0.44999999999999996,1.00286168263931,0.9081
Copeland,20,5,0,10000,0.5499999999999999,1.0051754708699654,0.8705
Copeland,20,5,0,10000,0.65,1.0081545473967062,0.8268
Copeland,20,5,0,10000,0.75,1.0120158611891945,0.7741
Copeland,20,5,0,10000,0.85,1.0158186068268473,0.7181
Copeland,20,5,0,10000,0.95,1.0190191571208842,0.6788
Borda,20,5,0,10000,0.05,1.0000227504427237,0.9925
Borda,20,5,0,10000,0.15,1.000193712566491,0.9773
Borda,20,5,0,10000,0.25,1.0005576877563138,0.9612
Borda,20,5,0,10000,0.35,1.0011457804400699,0.9415
Borda,20,5,0,10000,0.44999999999999996,1.0019230700128094,0.9185
Borda,20,5,0,10000,0.5499999999999999,1.002927189761276,0.9024
Borda,20,5,0,10000,0.65,1.0043186354998184,0.8672
Borda,20,5,0,10000,0.75,1.0063936938483717,0.8372
Borda,20,5,0,10000,0.85,1.0090847611714804,0.7805
Borda,20,5,0,10000,0.95,1.0116547621284382,0.7474
Random Voter Utility,20,5,0,10000,0.05,1.0000274099320854,0.9921
Random Voter Utility,20,5,0,10000,0.15,1.0001895188212955,0.9798
Random Voter Utility,20,5,0,10000,0.25,1.0007213839504292,0.9562
Random Voter Utility,20,5,0,10000,0.35,1.0015186333200696,0.9327
Random Voter Utility,20,5,0,10000,0.44999999999999996,1.0025075638987095,0.9134
Random Voter Utility,20,5,0,10000,0.5499999999999999,1.0041647418758544,0.8858
Random Voter Utility,20,5,0,10000,0.65,1.0064459091706157,0.8412
Random Voter Utility,20,5,0,10000,0.75,1.009979450938842,0.7924
Random Voter Utility,20,5,0,10000,0.85,1.0137760483094205,0.7341
Random Voter Utility,20,5,0,10000,0.95,1.0173060388752595,0.6998
